selection_order,city_id,display_name,platform,underlying_requests_deduplicated,aggregate_rows,population_estimate,quality_status,completed_scenarios,negative_scenarios,bundle_hash
1,us.ny.new-york-city,New York City,socrata,1796655,25020,8483844,pass,10,2,sha256:ee14fb04d12c79b3fb1ed5543d7a79b5e3182416cbb8fc2bbb4d11e5be4dbe8a
2,us.ma.boston,Boston,ckan-datastore,148160,23316,666442,warn,10,2,sha256:cb4817bffc40b7c4d167a6ffe3bba01433bfeffd2af92e1564a207a3928f3f7d
3,us.il.chicago,Chicago,socrata,1061921,29131,2711226,warn,10,2,sha256:6083512081a7d163c3708fff6fb59dbbed8040d0625120725ea12dbac3e5f891
4,us.ca.san-francisco,San Francisco,socrata,461576,12454,830235,warn,10,2,sha256:3f7b626d6365ae140247978e2ea22e14c7ec949074a30d95c605d3c09ad23c97
5,us.wa.seattle,Seattle,socrata,186351,15883,754195,warn,9,3,sha256:4158777895cab53154c9aba99c0180c7ece850fe072966a11442656e91e0b2fd
6,us.tx.austin,Austin,socrata,164333,24249,979539,warn,10,2,sha256:dbede31c6083bde844ca824bfb7e5efcf4456685f9dacba1b6a8d63c1f55270d
7,us.ca.los-angeles,Los Angeles,socrata,53194,4237,3857263,warn,7,5,sha256:3d5ecef21d6ce3f4d9fe44a7848d9859883c95e23cff9d52bc810bf86eb8ebf1
8,us.pa.philadelphia,Philadelphia,carto-sql,276443,14546,1579706,warn,10,2,sha256:a847e4cc1eef32f6b034d5cf17f23da1e8d5f8ca45f025e3d18ceb06a1bb1547
